========================================================================================================================
QUIMICORP PERU S.A.C. — CATALOGO MAESTRO CONSOLIDADO OFICIAL (INVENTARIO FISICO 2026)
FECHA DE CORTE: 02/09/2026 | ACTUALIZADO: 07/09/2026
ESTANDAR: 281 PRODUCTOS CANONICOS | STOCK FISICO TOTAL SUMADO | ORDEN ALFABETICO (A-Z) POR FAMILIAS
========================================================================================================================

========================================================================================================================
SECCION 1: MATERIAS PRIMAS E INSUMOS QUIMICOS GENERALES (INS-001 AL INS-164)
========================================================================================================================
SKU      | PRODUCTO                               | STOCK TOTAL    | ESTADO FISICO        | CATEGORIA
FRAG-038 | FRAGANCIA LAVANDA INTENSE              | 66 g           | FRAGANCIA LIQUIDA    | FRAGANCIAS
FRAG-039 | FRAGANCIA LIMACHEN                     | 100 g          | FRAGANCIA LIQUIDA    | FRAGANCIAS
FRAG-040 | FRAGANCIA LIMON CITRUS                 | 62 g           | FRAGANCIA LIQUIDA    | FRAGANCIAS
FRAG-041 | FRAGANCIA LIMON INTENSE                | 100 g          | FRAGANCIA LIQUIDA    | FRAGANCIAS
FRAG-042 | FRAGANCIA LRV FRESH                    | 929 g          | FRAGANCIA LIQUIDA    | FRAGANCIAS
FRAG-043 | FRAGANCIA MANZANA                      | 4,627 g        | FRAGANCIA LIQUIDA    | FRAGANCIAS
FRAG-044 | FRAGANCIA MANZANA INTENSE              | 12 g           | FRAGANCIA LIQUIDA    | FRAGANCIAS
FRAG-045 | FRAGANCIA MANZANILLA                   | 4,404 g        | FRAGANCIA LIQUIDA    | FRAGANCIAS
FRAG-046 | FRAGANCIA MARACUYA                     | 1,620 g        | LIQUIDO              | FRAGANCIAS
FRAG-047 | FRAGANCIA MENTA                        | 5,165 g        | LIQUIDO              | FRAGANCIAS
FRAG-048 | FRAGANCIA MIEL                         | 1,143 g        | LIQUIDO              | FRAGANCIAS
FRAG-049 | FRAGANCIA MIL FLORES                   | 635 g          | FRAGANCIA LIQUIDA    | FRAGANCIAS
FRAG-050 | FRAGANCIA NARANJA                      | 3,982 g        | LIQUIDO              | FRAGANCIAS
FRAG-051 | FRAGANCIA NEW CAR                      | 965 g          | FRAGANCIA LIQUIDA    | FRAGANCIAS
FRAG-052 | FRAGANCIA NEW CARE                     | 374 g          | FRAGANCIA LIQUIDA    | FRAGANCIAS
FRAG-053 | FRAGANCIA ONE MILLION LUCKY            | 37 g           | FRAGANCIA LIQUIDA    | FRAGANCIAS
FRAG-054 | FRAGANCIA PACO 212                     | 42 g           | FRAGANCIA LIQUIDA    | FRAGANCIAS
FRAG-055 | FRAGANCIA PACO LUCKY                   | 11,948 g       | LIQUIDO              | FRAGANCIAS
FRAG-056 | FRAGANCIA PACO RABAN (ANTIGUO)         | 826 g          | LIQUIDO              | FRAGANCIAS
